Repository,Fix Commit SHA,Tests Changes in Fix,BIC Commit SHA,Tests Changes in BIC
JabRef/jabref,f5a2f3b130f3b094c388dd7975e132fd87b15647,No,dd7a757b9a4446bbbadb3acc00f187c3b85115cb,No
JabRef/jabref,6e279228bad2fbe54f20a8fcebf2a8b7cb9415ef,No,48a4c318a73a872ac71d44b50d09da25bb06279c,No
JabRef/jabref,d792923b51e2a11b8445424d6a5ace41fdc1eaa9,No,6c6cfd663086778ae2da481e1149c0344a5a2f81,No
JabRef/jabref,ca16e86dd8bb16b7051bd1f0b8ff615acdf36524,No,3de6c7b7769587d972ff45be75656c079a4eafc1,No
JabRef/jabref,78b08b5b9c7cb4cce8d186003b57f94b7191cb07,No,efdd24c592a212a81e7f91164fe0d2a914cc5e09,No
JabRef/jabref,b655bfd3bfdff6aedc16ded5876af1daab652956,No,8556e65052fecc70f3c25cdf8eb81b106b9c8d55,No
JabRef/jabref,d77450376e59e6f4abaf35f067ff267fec7d0d01,No,d710c9a1f767ec589bcb15664c7511afe49931e8,No
JabRef/jabref,a14ad8e6b10bff8c129ffc7edd56ba0c33b1deda,No,4a6f1915595e0bb5f5a0af558f434a10c618f6eb,No
JabRef/jabref,d710c9a1f767ec589bcb15664c7511afe49931e8,No,-,-
JabRef/jabref,d6b5dcf3d2fa45eb5d114e9132b015cc5ca8b1a7,No,fe0631032f828cfda650b18a28929313f22978a8,No
JabRef/jabref,8a436940004887a5e232c903e18139a97c42c461,No,961ce3032ca8383c5a0b3d0975a15c439b38c16c,No
JabRef/jabref,b16160e5ab0fd9dc3aefc6824f55739b40d3a986,No,-,-
JabRef/jabref,f1e471fc3c557c28d32369c6a3fb995633202aa7,No,bc56ab65256ca089ec4160405406bd7f65206c49,No
JabRef/jabref,8763a117a656aaa79cadc311baa652b2b2a30838,No,6243cec2624540d7649956bcdafcf37df21cad5c,No
JabRef/jabref,98fd48946ca763f6871043dc7325cbd8b98ffed1,No,-,-
JabRef/jabref,dd7a757b9a4446bbbadb3acc00f187c3b85115cb,No,-,-
JabRef/jabref,4932a8c2d51ebcf1f87c49aedbafc81032f4fded,No,5a956182474824ad113b126bfe9a4a2fac71fa44,No
JabRef/jabref,6bd8f4c604700a9504bcd9aeda210fc8be49f249,No,9aaea7611ffe471d1b3ba16b13673ec0a0cfd846,No
JabRef/jabref,d303aff3a8cded12cf943e391254ddb42a6f52a5,No,2dcab10b9cb9796fff94a0ce9a52afc6cc2c7da4,No
JabRef/jabref,7ecb5095cebce6a4ae629b11051d57b63fff7bd3,No,-,-
JabRef/jabref,0853734385c1fd498be385efb759ed7534780b84,No,67e1dcfa91617914eec2e50c4ebf967fdd712920,No
JabRef/jabref,d80e16457711ec606879f061b64925d51826082a,No,475b2989ffa8ec61c3327c62ed8f694149f83220,No
JabRef/jabref,44d646ea31cf560c46842ea532b39a4a53348065,No,851fa4bb4f372e3d63ea69fc3077ebe1274eb135,No
JabRef/jabref,2dc8ddfb93cc965221c80ef0430de809eac237af,No,7c238ebd6f960e512725dfff0f4c57e9365901c2,No
JabRef/jabref,f1977f53e39b578e1cc4015f7b5970b6d66b6c16,No,-,-
JabRef/jabref,5e256f5864b4936ed0f59fb1feb2e2d60c1ca640,No,830f59c86131b7385eb73b0c2c44067af7bb493f,No
JabRef/jabref,b506baa7e8ac8c29786b2627c24f5f2696d35b6c,No,-,-
JabRef/jabref,985b40bd15c0b0648eb02e5850db0fa1fe20a834,No,76be2a78f47178cefb995ee6a19aaba10c53a8f8,No
JabRef/jabref,7b29fe39b63f6630b3e92bc67e5080531643a708,No,89f855d76713b4cd25ac0830c719cd61c511851e,No
JabRef/jabref,eddf636825a87bd2be7782971c0db306c6596245,No,bcdb01cd6c655a18038a704117b52c0c5d183a36,No
JabRef/jabref,591b34aec34e653a2dff7ec98da086c1d5d6bc08,No,1797af8e3bcc6105563b337223e5257abc97ca35,No
JabRef/jabref,8c8a43518a3a4fb152b5145b63fbc53d26f6eedd,No,c87ec4ac1f2cb168e47a30e1bcb99a526475ce8b,No
JabRef/jabref,0a5c8b770322aaaea4a13ebc00d0e0c6d4d38daf,No,-,-
JabRef/jabref,4893461482d8d04a8d71310d73c3a870dc042f76,No,-,-
JabRef/jabref,f5842eff27cb16a41f8b6f1428ef27b177511be3,No,a01b938d3cf699ec8f27b70ec2a4f876d3b11ec6,No
JabRef/jabref,1f14795b20eea9be44a0614afe5b8a2bd86a7c0e,No,618f6d29c4f3d79b0e73931b9e499666c75f458e,No
JabRef/jabref,fbbd760358162e4be5f71ef9f5241206ce836d63,No,-,-
JabRef/jabref,b506baa7e8ac8c29786b2627c24f5f2696d35b6c,No,-,-
JabRef/jabref,9b9cb46c3febb6ba7dd60ee600af88b110351a5b,No,-,-
JabRef/jabref,6701a9e7cce8e0d2f9b5d1cf6d8f1ae34a2deedc,No,b385fee1bd1e38134f3ddf6e3083f44451df96ea,No
